#place          #lat        #long       #alt
Paluru          14.51537627 78.32335711 205m
Thondur         14.5764708  78.28036    225m
Pulivendula     14.4222318  78.2263388  272m
Vempalle        14.3661521  78.45856    213m
GangireddyPalle 14.46447    77.9517348  315m
Proddatur       14.7491864  78.5531577  160m
Kadapa          14.5767233  78.8382644  151m
Kadiri_Kanuma1  14.28509506 78.18433285 725m
Puttaparthi     14.1669963  77.8091496  464m
Penukonda       14.0844312  77.5973233  561m
Anantapur       14.6818877  77.6005911  349m
Horsley_Hills   13.6507496  78.3970205  1247m
Chennai         13.0826802  80.2707184  9m
Tambaram        12.9229153  80.1274558  33m
Vizag           17.6868159  83.2184815  54m
Tirumala        13.6781837  79.352188   882m
Mahabaleshwar   17.9307285  73.6477342  1272m
Kudremukh       13.2226055  75.2508229  797m
Kudremukh_Peak  13.1261281  75.2741065  1754m
Talakaveri      12.3835908  75.4941839  1185m
Trimbak         19.9373638  73.5363557  710m
Gangotri        30.9946945  78.9398402  3061m
Gangotri-Gl     30.7983498  79.154224   4808m
DhamtariMaha1   20.7014999  81.5541579  327m 
Bastar          19.1071317  81.9534815  541m
